NODEID,x,y
S9CT0PJ20,308063.1779728581,2772160.4940118487
S9CVGPHR4,308143.3449683308,2771875.5849890895
S9CW8PHMU,308167.6261415522,2771772.4470097967
S9CUGPHP1,308112.1560433832,2771809.534005785
S9BTAPHGD,307049.62706666597,2771596.6860500546
S9C40PHJ0,307327.68902550614,2771648.196018052
S9C7LPHGA,307443.628991126,2771594.114997373
S9C18PHKM,307239.6500408532,2771701.0790236895
S9CXKPHSD,308210.6029926853,2771917.1450048774
S9D6DPHX6,308428.9630333156,2772070.0969972364
S9DAHPJ2R,308561.13815889426,2772184.899006661
S9D5JPJ0R,308401.76800661435,2772120.926985198
S9C67PGU8,307398.39445333224,2770952.2769286036
S9AFLPGQ5,305651.3119618892,2770821.425011882
S9BUXPGLB,307103.122112835,2770699.20204995
S9BUGPGLU,307087.5890152147,2770716.4100159444
S9BX4PGLF,307171.4949548755,2770702.662011724
S9C0VPGTL,307228.23318094277,2770931.9140165104
S9DDWPJ49,308669.5229546816,2772233.4019589354
S9BVKPHFP,307122.2942349205,2771575.2570472434
S9CX4PHS3,308196.055009722,2771907.342958516
S9C4SPHFG,307353.8689780327,2771567.576033712
S9C80PHFD,307455.95520777634,2771565.1870474536
S9CA2PHKG,307521.1940473444,2771695.720992879
S9C98PHCS,307495.44895246794,2771482.184003275
S9CANPHDK,307541.3750984178,2771506.6170333624
S9CGSPHBA,307737.36522127135,2771433.7419582033
S9CA4PHQA,307523.9770099916,2771850.52603701
S9CBHPHLS,307568.9839767746,2771738.0000226274
S9CF5PHD3,307684.9680094954,2771491.447978192
S9CD4PHG8,307620.0489676622,2771592.489039004
S9CVHPJ9U,308144.522007097,2772412.2439770903
S9CPCPJFW,307947.53704949986,2772605.7849582084
S9DKAPJ7J,308841.9139671105,2772337.8840077706
S9GPAPJSL,312041.88599223306,2772948.0329849003
S9CDGPHH9,307631.54823155946,2771624.595961302
S9CPFPKN1,307950.433956381,2773824.6579789994
S9CGVPL0F,307740.9350639467,2774158.904026419
S9CJSPKW2,307801.7380039485,2774082.1920145415
S9CMPPKRM,307894.4760833947,2773941.0189740704
S9CJXPKS9,307806.57120821456,2773961.4149515615
S9CRPPK1F,308022.49798677355,2773167.498039011
S9CQ3PK80,307970.20903191844,2773375.880979113
S9CRGPK2N,308015.69395551435,2773206.187983315
S9DUJPJCR,309137.3360156601,2772505.1360107404
S9CGHPKJ1,307728.9619821406,2773696.819952089
S9CWLPJSA,308179.6700022748,2772937.8949752473
S9CRTPJKS,308026.27498530736,2772729.798011628
S9C15PHSJ,307236.2220481476,2771921.5940137855
S9C9APHC4,307497.57807059446,2771459.7540191896
S9CTBPJ27,308074.8599599915,2772167.492049314
S9CW4PHRF,308164.1320460777,2771887.081956294
S9CWVPHN2,308188.650023965,2771778.206979971
S9CVTPHPC,308154.3711090296,2771820.0300470307
S9BS9PHGD,307017.07718903176,2771597.136966037
S9BTAPHFT,307049.33208267274,2771579.052957937
S9C3EPHKL,307309.58509260503,2771699.969039538
S9D3XPHUX,308350.3930401329,2771998.7609544354
S9DDWPJ3M,308669.2869720528,2772212.706966033
S9DDFPJ49,308654.77896357403,2772233.1210086294
S9DC2PJ3Q,308609.4750044079,2772216.0699601974
S9D7RPJ22,308472.34903060336,2772161.759011561
S9C7APGU8,307433.18103009183,2770951.630032395
S9C1HPGUM,307248.99204725237,2770965.100984612
S99LPPGQM,304790.65598076454,2770837.0059706266
S9AXFPGRD,306159.0790312963,2770860.7719445485
S9BB1PFK8,306528.3530205004,2769640.1439613136
S9BWVPGL2,307164.45896832075,2770689.597992909
S9BUAPGLJ,307081.93702580244,2770706.456001099
S9BTMPGHU,307061.1080949878,2770620.031039396
S9BXJPGSC,307186.0040332356,2770891.5719832936
S9C3FPGNJ,307310.1992217763,2770770.0550301466
S9C5DPHDN,307372.3632156112,2771509.986015392
S9C9UPHLF,307516.09812380804,2771726.724964256
S9C7CPH9B,307435.5200749633,2771370.815026181
S9C80PHDE,307455.5169633687,2771502.1619728734
S9C8PPH9V,307478.3350337106,2771388.676960012
S9CDJPHB3,307633.34999999567,2771426.597039887
S9CGSPHB1,307737.7232261807,2771425.5069572916
S9CX1PHE7,308192.9881352094,2771526.6889861906
S9CGCPHC8,307723.8142055772,2771464.103007565
S9CUPPHBT,308118.4940454683,2771450.9119567024
S9C9UPHS7,307515.1790634144,2771910.7909846203
S9CATPHQE,307547.11899059097,2771854.222007151
S9CGLPHED,307731.68504023185,2771532.9770045923
S9D14PJBP,308259.83398546616,2772471.0380249955
S9D07PJ4W,308230.2059949846,2772254.0870492817
S9CSRPJGF,308056.26906545414,2772622.910002802
S9DDSPJ4G,308665.39405178203,2772239.794142378
S9HBJPJC6,312689.9780042003,2772486.5249560885
S9H4KPJD3,312467.0439828348,2772515.34399881
S9CQBPKGB,307979.0060980407,2773642.6819516113
S9CMDPKL1,307884.6610445141,2773761.517016338
S9CGRPL0N,307736.893959776,2774165.647005545
S9CGHPL0A,307728.7739735724,2774154.330988707
S9CH4PL0J,307748.09795805643,2774161.861048377
S9CLLPKTB,307859.8480530574,2773995.0070018345
S9CNAPKQQ,307913.62499888195,2773912.391967799
S9CS2PK1L,308034.13807523507,2773172.3289759285
S9CQ8PKC4,307975.3500158857,2773507.635969304
S9CT7PK38,308071.0421056197,2773223.6139637306
S9CQFPK80,307982.8690249229,2773375.648021434
S9EJ6PJCV,309829.9462305188,2772509.3539925274
S9CAEPKKH,307533.850039022,2773745.547039562
S9CNVPKDW,307932.6039888267,2773566.1019692463
S9D0PPJP9,308246.6750515626,2772840.823985869
S9CX0PJSG,308191.31098976854,2772943.849011037
S9BVQPHSA,307128.0379288182,2771914.539002168
S9C17PHS4,307238.5319585115,2771908.0600270513
S9C5JPHSW,307377.28303871973,2771934.372046335
S9C4FPH3F,307342.72695305024,2771183.1960075404
S9CX8PJ4D,308199.33302754513,2772237.062049937
S9D0VPHNH,308252.35797280003,2771793.218993449
S9CW2PHNP,308161.9161219679,2771799.4989803806
S9BNRPHGF,306904.78616614774,2771598.704976117
S9BT9PHDU,307048.4681393632,2771516.4689864116
S9BNRPHFX,306905.0419799864,2771583.2379848883
S9C2UPHM6,307292.1420608419,2771749.8549636807
S9D6QPHWK,308439.4212434948,2772050.6280403202
S9DE8PJ3S,308679.2200614848,2772218.388097834
S9DDBPJ4F,308651.1249609758,2772238.8139939657
S9DAGPJ3Q,308559.5090340477,2772215.739989442
S9CAGPGU5,307535.5819622071,2770948.8930377043
S9C79PGTD,307432.70404642366,2770925.1500255023
S9C0MPGUN,307220.2589662806,2770965.983998881
S9C67PGUM,307398.74794522725,2770965.341032304
S9C2QPGWS,307287.89997969684,2771034.264014012
S9834PH0E,303203.52203831344,2771085.8879926726
S99E2PGQ7,304577.3310399589,2770822.8310046513
S9B3FPGSB,306286.96913304186,2770891.3739552074
S9B9PPFGR,306486.2451096866,2769560.800005605
S9BC4PFM3,306564.1089524427,2769698.792978322
S9C0RPGLA,307224.7800209051,2770698.3939637737
S9BAGPFKH,306511.5450270022,2769648.8610327938
S9BTEPGK2,307053.37707840325,2770658.0530267702
S9BRQPGE4,306999.20912107814,2770500.527970993
S9C00PGTC,307199.8470046058,2770924.3910304224
S9C48PGP3,307335.33899490145,2770787.0080080125
S9C0APGNM,307209.26998739847,2770772.7930312757
